2018-05-17_21:30:53:367- Subscribing to topicmqtt-roundtrip-qos0-1MByte-1000-cycles
2018-05-17_21:30:53:367- subscribe returned (4, None)
2018-05-17_21:30:54:128- Client disconnected from broker
2018-05-17_21:30:55:455- Client disconnected from broker
2018-05-17_21:30:57:023- Client disconnected from broker
2018-05-17_21:30:58:283- Client disconnected from broker
2018-05-17_21:30:59:619- Client disconnected from broker
2018-05-17_21:31:01:243- Client disconnected from broker
2018-05-17_21:31:02:467- Client disconnected from broker
2018-05-17_21:31:03:791- Client disconnected from broker
2018-05-17_21:31:05:431- Client disconnected from broker
2018-05-17_21:31:06:639- Client disconnected from broker
2018-05-17_21:31:07:947- Client disconnected from broker
2018-05-17_21:31:09:607- Client disconnected from broker
2018-05-17_21:31:10:807- Client disconnected from broker
2018-05-17_21:31:12:123- Client disconnected from broker
2018-05-17_21:31:13:779- Client disconnected from broker
2018-05-17_21:31:14:971- Client disconnected from broker
2018-05-17_21:31:16:315- Client disconnected from broker
2018-05-17_21:31:17:951- Client disconnected from broker
2018-05-17_21:31:19:167- Client disconnected from broker
2018-05-17_21:31:20:499- Client disconnected from broker
2018-05-17_21:31:22:163- Client disconnected from broker
2018-05-17_21:31:23:339- Client disconnected from broker
2018-05-17_21:31:24:683- Client disconnected from broker
2018-05-17_21:31:26:351- Client disconnected from broker
2018-05-17_21:31:27:519- Client disconnected from broker
2018-05-17_21:31:28:871- Client disconnected from broker
2018-05-17_21:31:30:523- Client disconnected from broker
2018-05-17_21:31:31:679- Client disconnected from broker
2018-05-17_21:31:33:034- Client disconnected from broker
2018-05-17_21:31:34:723- Client disconnected from broker
2018-05-17_21:31:35:871- Client disconnected from broker
2018-05-17_21:31:37:243- Client disconnected from broker
2018-05-17_21:31:38:899- Client disconnected from broker
2018-05-17_21:31:40:079- Client disconnected from broker
2018-05-17_21:31:41:423- Client disconnected from broker
2018-05-17_21:31:43:099- Client disconnected from broker
2018-05-17_21:31:44:251- Client disconnected from broker
2018-05-17_21:31:45:639- Client disconnected from broker
2018-05-17_21:31:47:275- Client disconnected from broker
2018-05-17_21:31:48:455- Client disconnected from broker
2018-05-17_21:31:49:863- Client disconnected from broker
2018-05-17_21:31:51:463- Client disconnected from broker
2018-05-17_21:31:52:638- Client disconnected from broker
2018-05-17_21:31:54:027- Client disconnected from broker
2018-05-17_21:31:55:655- Client disconnected from broker
2018-05-17_21:31:56:823- Client disconnected from broker
2018-05-17_21:31:58:247- Client disconnected from broker
2018-05-17_21:31:59:883- Client disconnected from broker
2018-05-17_21:32:01:063- Client disconnected from broker
2018-05-17_21:32:02:440- Client disconnected from broker
2018-05-17_21:32:04:043- Client disconnected from broker
2018-05-17_21:32:05:283- Client disconnected from broker
2018-05-17_21:32:06:635- Client disconnected from broker
2018-05-17_21:32:08:235- Client disconnected from broker
2018-05-17_21:32:09:479- Client disconnected from broker
2018-05-17_21:32:10:815- Client disconnected from broker
2018-05-17_21:32:12:431- Client disconnected from broker
2018-05-17_21:32:13:655- Client disconnected from broker
2018-05-17_21:32:15:027- Client disconnected from broker
2018-05-17_21:32:16:679- Client disconnected from broker
2018-05-17_21:32:17:863- Client disconnected from broker
2018-05-17_21:32:19:227- Client disconnected from broker
2018-05-17_21:32:20:855- Client disconnected from broker
2018-05-17_21:32:22:055- Client disconnected from broker
